url,date,comments,hashtag_list
https://www.instagram.com/p/CAmCyKllOW8/,2020-05-25,"상쾌한 월요일 아침
.
.
.
#카페휴가 #구파발휴가 #huga #브런치 #브런치카페 #북한산 #북한산카페 #서울카페 #서울맛집 #은평구맛집 #은평구카페 #베이커리카페 #베이커리 #디저트카페 #디저트 #커피 #카페맛집 #카페추천 #카페여행 #일상 #소통 #카페스타그램 #구파발맛집 #연신내맛집 #삼송맛집 #브런치맛집 ","카페휴가, 구파발휴가, huga, 브런치, 브런치카페, 북한산, 북한산카페, 서울카페, 서울맛집, 은평구맛집, 은평구카페, 베이커리카페, 베이커리, 디저트카페, 디저트, 커피, 카페맛집, 카페추천, 카페여행, 일상, 소통, 카페스타그램, 구파발맛집, 연신내맛집, 삼송맛집, 브런치맛집"
https://www.instagram.com/p/CAmCvH-lTFg/,2020-05-25,"핫한 야외매표소, 밖과 안의 온도차
.
.
.
- 아이스아메리카노 / 레몬에이드
- 크로플

도그꿀잼 _ 티켓부스 #대전 #둔산동 #티켓부스 #외관맛집 #대전카페 #청주카페 #서울카페 #카페투어 #부산카페 #김해카페 #울산맛집 #대전맛집#좋아요 #좋아요반사 #좋반 #팔로우 #팔로워 #팔로우미 #맞팔 #선팔하면맞팔 #맞팔환영 #맞팔선팔 #소통 #맞팔해요 #소통해요 #선팔맞팔 #likeforlikes #like4likes ","대전, 둔산동, 티켓부스, 외관맛집, 대전카페, 청주카페, 서울카페, 카페투어, 부산카페, 김해카페, 울산맛집, 대전맛집, 좋아요, 좋아요반사, 좋반, 팔로우, 팔로워, 팔로우미, 맞팔, 선팔하면맞팔, 맞팔환영, 맞팔선팔, 소통, 맞팔해요, 소통해요, 선팔맞팔, likeforlikes, like4likes"
https://www.instagram.com/p/CAmCo_SAQJf/,2020-05-25,🍬 ,
https://www.instagram.com/p/CAmCkzFp3us/,2020-05-25,"어느새 5월의 마지막주가 시작되었어요🙃
오늘도 여덟시까지 오픈합니다💚 💚 @213.shop #이일삼점 #이일삼호 #아치맛집 #불광카페 #은평구카페 #불광천카페 #새절카페 #신사카페 #응암카페 #연신내카페 #증산카페 #카페투어 #예쁜카페 #cafetour #seoulcafe #서울카페 #플랫화이트 #아인슈페너 #테린느 #응암맛집 #스모어쿠키 #애견동반카페 ","이일삼점, 이일삼호, 아치맛집, 불광카페, 은평구카페, 불광천카페, 새절카페, 신사카페, 응암카페, 연신내카페, 증산카페, 카페투어, 예쁜카페, cafetour, seoulcafe, 서울카페, 플랫화이트, 아인슈페너, 테린느, 응암맛집, 스모어쿠키, 애견동반카페"
https://www.instagram.com/p/CAmCfkGpF-I/,2020-05-25,"서울

CAFEDENOVO
➡️ 서울 광진구 아차산로78길 157

#서울카페 #광나루 #카페 #아메리카노 #딸기생크림크로와상 #seoul #cafe #americano #strawberry #bread #instafood #food #korea ","서울카페, 광나루, 카페, 아메리카노, 딸기생크림크로와상, seoul, cafe, americano, strawberry, bread, instafood, food, korea"
https://www.instagram.com/p/CAmCEdAllbb/,2020-05-25,"서울 도대체 언제 갈 수 있지? 😩💨
.
.
.
.
.
.
.
.
#서울카페 #청주카페 #카페투어 #신상카페 #팔로우 #데일리 #첫줄 #좋반 #인친 #소통 #맞팔 #맞팔해요 #일상 #소통해요 #좋아요반사 #좋아요 #셀스타그램 #인스타그램 #럽스타그램 #전신샷 #셀카 #follow #instagram #instadaily #daily #카페스타그램 #f4f #l4l #likeforlikes #송리단길 코로나가 안끝나😢 @h_yoeunnii
괜찮아질만하면 ,, 😩 나 리스트 언제 줄 그어 ? ㅋㅋ 무거워서못가👍 @jonghwa9208
내가 ? 아닐텐데^^ 다른 사람일텐데 ㅋㅋㅋㅋㅋㅋㅋ 챈정 으딜가 코로나조심해야대👊 @hyunazzang1
온니 또 스윗 마이 홈으로 놀러오이소 🥒❣️ ",", , , , , , , , , , , , , , , , , , , , , follow, instagram, instadaily, daily, , f4f, l4l, likeforlikes, "
https://www.instagram.com/p/CAmCCesJdPm/,2020-05-25,"활기차게 월요일 시작하셨나요?
이번주에는 여름메뉴들이 새롭게 선보입니다
그 첫번째 망고롤케이크
몇주전 공지를 올리고 판매를 시작하지 않아서 많은 분들이 언제부터 판매하는지 문의가 많았는데요
내일부터 판매합니다
그동안 맘에 드는 망고의 수급이 어려워서 미뤘었는데 역시 대만애플망고는 진리네요
대만에서 매장을 했을때 매일 먹었던 그맛입니다 너무 맛있어요 ㅠㅠ
내일부터 판매합니다 기대해주세요 ❤️ #단고당 #은평구카페 #서울카페 #디져트카페 #연신내카페 #동경제과학교 #양과자 #배달의민족 #망고롤케이크 #타이완망고 #台灣芒果 ??애아뽀으맹고? ","단고당, 은평구카페, 서울카페, 디져트카페, 연신내카페, 동경제과학교, 양과자, 배달의민족, 망고롤케이크, 타이완망고, "
https://www.instagram.com/p/CAmB_zQJroZ/,2020-05-25,"요로코롬 옛날 추억을 담으니
배경이 화려하지않아도 귀엽죠?🙈💕
저 이런거 전문이예유😆😆
-
✔찜했당은 모두 '떡케이크'입니다.
✔주문은 카카오톡채널 '찜했당' 🎂 @silverwater.zo #찜했당#떡케이크#떡케익#케이크#결혼기념일#결혼기념일케이크#레터링케이크#기념일케이크#디자인케이크#부모님결혼기념일#생신케이크#생일케이크#서포트케이크#연예인서포트#칠순케이크#주문제작케이크#컵케이크#서울카페#카페투어#성북동카페#성신여대카페#한성대카페##cake#beanpaste#koreanflowercake#한옥카페#브라이덜샤워케이크#대학로카페#혜화카페 ","찜했당, 떡케이크, 떡케익, 케이크, 결혼기념일, 결혼기념일케이크, 레터링케이크, 기념일케이크, 디자인케이크, 부모님결혼기념일, 생신케이크, 생일케이크, 서포트케이크, 연예인서포트, 칠순케이크, 주문제작케이크, 컵케이크, 서울카페, 카페투어, 성북동카페, 성신여대카페, 한성대카페, , cake, beanpaste, koreanflowercake, 한옥카페, 브라이덜샤워케이크, 대학로카페, 혜화카페"
https://www.instagram.com/p/CAmB7vfn6pR/,2020-05-25,"#mk2 #서촌
.
.
처음 먹어본
토마토 그라니따🍅
밑바닥까지 싹싹
긁어먹음🥄 🍅 @2_sora69 #daily #cafe #일상 #카페 #카페투어 #카페투어그램 #cafetour #데이트코스 #서울카페 #경복궁역 #가오픈카페 #신상카페 #장미 #사진맛집 #감성사진 #seoulcafe #instacafe #dessert #coffee #fff #카페인테리어 #감성카페 #좋아요반사 토마토 그라니따 나도 오랜만에 먹으러 가야겠다!! 저거 더워지면 완전 땡긴다니까✨ @heeeeesune 저거 왜케 맛있어? 나왜 지금 처음 먹어봤어....? 맛있다고 왜 말안해줬어..... 헣 토마토디저트에용🙊🧡?!?! @s__ommi 토마토마토 디저트예요~ 진짜 상큼하니 맛나요❤️ 이쏘라 나 저거 만들어줘 ♥️ @hyunah__s2 엥? 그럼 일단 토마토심을 밭부터 구해볼께.. 토매토 ㅠㅠ 먹고싶어요🧡 @luv_me_yeon 진짜 상큼하니 맛났어요~ 여름 시작되면 저거 계속 생각날듯요🙊 이거 양 쯕어서 밑바닥까지 긁어 묵어야해여 ㅋㅋㅋㅋ♥️ 담엔 자몽먹을거라규 이제 토마토를 먹어줘야할 계절❤️ 진짜 맛잇을거같아요💛 어우 mk2 저도 넘 가구 싶어요ㅠㅠ 날 좋은날 다녀오셨나요옹 토매이로〰️❤️ 아 이거 궁금해유 .. 토마토라니 더 궁금한데유 ..? 🙄🙄 우아 토매토! 너무 귀여운데 맛도 너무 궁금해오🍅❤ ","mk2, 서촌, daily, cafe, 일상, 카페, 카페투어, 카페투어그램, cafetour, 데이트코스, 서울카페, 경복궁역, 가오픈카페, 신상카페, 장미, 사진맛집, 감성사진, seoulcafe, instacafe, dessert, coffee, fff, 카페인테리어, 감성카페, 좋아요반사"
https://www.instagram.com/p/CAmB3taHO2q/,2020-05-25,왜구렇게 부담스럽게 쳐다보냐🙄 오 마스크 나이스🤣 @super_0906 치 잘생기면 다냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ @duna.room_ ㅋㅋㅋ 그게아닌데 🤣 요새 많이 바빠보이네?ㅋㅋ 두나룸 화이팅👏👏👏 @super_0906 7월 제사라서 봤음 좋겠어여 제발여어🙌🏼❤️ - @duna.room_ #두나룸 #원피스맛집 #여름원피스 #원피스 #대구맘 #맘룩 #대구맛집 #구미맛집 #경주맛집 #포항맛집 #대구카페 #구미카페 #경주카페 #울산카페 #포항카페 #서울카페 #김해카페 #창원카페 #하객룩 #데이트룩 #결혼식패션 #돌잔치룩 #젊줌마 #예비맘 #육아소통 #육아스타그램 #대봉동카페 #대봉동맛집 #선댄스팜 #맘룩 #등원룩 ㅂㄴ ,"두나룸, 원피스맛집, 여름원피스, 원피스, 대구맘, 맘룩, 대구맛집, 구미맛집, 경주맛집, 포항맛집, 대구카페, 구미카페, 경주카페, 울산카페, 포항카페, 서울카페, 김해카페, 창원카페, 하객룩, 데이트룩, 결혼식패션, 돌잔치룩, 젊줌마, 예비맘, 육아소통, 육아스타그램, 대봉동카페, 대봉동맛집, 선댄스팜, 맘룩, 등원룩"
